2000년 5월 2일 	 JD=2451635
2000년 5월 3일 	 JD=2451636
2000년 5월 4일 	 JD=2451637
2000년 5월 5일 	 JD=2451638
2000년 5월 6일 	 JD=2451639
2000년 5월 7일 	 JD=2451640
2000년 5월 8일 	 JD=2451641
2000년 5월 9일 	 JD=2451642
2000년 5월 10일 	 JD=2451643
2000년 5월 11일 	 JD=2451644
2000년 5월 12일 	 JD=2451645
2000년 5월 13일 	 JD=2451646
2000년 5월 14일 	 JD=2451647
2000년 5월 15일 	 JD=2451648
2000년 5월 16일 	 JD=2451649
2000년 5월 17일 	 JD=2451650
2000년 5월 18일 	 JD=2451651
2000년 5월 19일 	 JD=2451652
2000년 5월 20일 	 JD=2451653
2000년 5월 21일 	 JD=2451654
2000년 5월 22일 	 JD=2451655
2000년 5월 23일 	 JD=2451656
2000년 5월 24일 	 JD=2451657
2000년 5월 25일 	 JD=2451658
2000년 5월 26일 	 JD=2451659
2000년 5월 27일 	 JD=2451660
2000년 5월 28일 	 JD=2451661
2000년 5월 29일 	 JD=2451662
2000년 5월 30일 	 JD=2451663
2000년 5월 31일 	 JD=2451664
2000년 6월 1일 	 JD=2451664
2000년 6월 2일 	 JD=2451665
2000년 6월 3일 	 JD=2451666
2000년 6월 4일 	 JD=2451667
2000년 6월 5일 	 JD=2451668
2000년 6월 6일 	 JD=2451669
2000년 6월 7일 	 JD=2451670
2000년 6월 8일 	 JD=2451671
2000년 6월 9일 	 JD=2451672
2000년 6월 10일 	 JD=2451673
2000년 6월 11일 	 JD=2451674
2000년 6월 12일 	 JD=2451675
2000년 6월 13일 	 JD=2451676
2000년 6월 14일 	 JD=2451677
2000년 6월 15일 	 JD=2451678
2000년 6월 16일 	 JD=2451679
2000년 6월 17일 	 JD=2451680
2000년 6월 18일 	 JD=2451681
2000년 6월 19일 	 JD=2451682
2000년 6월 20일 	 JD=2451683
2000년 6월 21일 	 JD=2451684
2000년 6월 22일 	 JD=2451685
2000년 6월 23일 	 JD=2451686
2000년 6월 24일 	 JD=2451687
2000년 6월 25일 	 JD=2451688
2000년 6월 26일 	 JD=2451689
2000년 6월 27일 	 JD=2451690
2000년 6월 28일 	 JD=2451691
2000년 6월 29일 	 JD=2451692
2000년 6월 30일 	 JD=2451693
2000년 7월 1일 	 JD=2451694
2000년 7월 2일 	 JD=2451695
2000년 7월 3일 	 JD=2451696
2000년 7월 4일 	 JD=2451697
2000년 7월 5일 	 JD=2451698
2000년 7월 6일 	 JD=2451699
2000년 7월 7일 	 JD=2451700
2000년 7월 8일 	 JD=2451701
2000년 7월 9일 	 JD=2451702
2000년 7월 10일 	 JD=2451703
2000년 7월 11일 	 JD=2451704
2000년 7월 12일 	 JD=2451705
2000년 7월 13일 	 JD=2451706
2000년 7월 14일 	 JD=2451707
2000년 7월 15일 	 JD=2451708
2000년 7월 16일 	 JD=2451709
2000년 7월 17일 	 JD=2451710
2000년 7월 18일 	 JD=2451711
2000년 7월 19일 	 JD=2451712
2000년 7월 20일 	 JD=2451713
2000년 7월 21일 	 JD=2451714
2000년 7월 22일 	 JD=2451715
2000년 7월 23일 	 JD=2451716
2000년 7월 24일 	 JD=2451717
2000년 7월 25일 	 JD=2451718
2000년 7월 26일 	 JD=2451719
2000년 7월 27일 	 JD=2451720
2000년 7월 28일 	 JD=2451721
2000년 7월 29일 	 JD=2451722
2000년 7월 30일 	 JD=2451723
2000년 7월 31일 	 JD=2451724
2000년 8월 1일 	 JD=2451725
2000년 8월 2일 	 JD=2451726
2000년 8월 3일 	 JD=2451727
2000년 8월 4일 	 JD=2451728
2000년 8월 5일 	 JD=2451729
2000년 8월 6일 	 JD=2451730
2000년 8월 7일 	 JD=2451731
2000년 8월 8일 	 JD=2451732
2000년 8월 9일 	 JD=2451733
2000년 8월 10일 	 JD=2451734
2000년 8월 11일 	 JD=2451735
2000년 8월 12일 	 JD=2451736
2000년 8월 13일 	 JD=2451737
2000년 8월 14일 	 JD=2451738
2000년 8월 15일 	 JD=2451739
2000년 8월 16일 	 JD=2451740
2000년 8월 17일 	 JD=2451741
2000년 8월 18일 	 JD=2451742
2000년 8월 19일 	 JD=2451743
2000년 8월 20일 	 JD=2451744
2000년 8월 21일 	 JD=2451745
2000년 8월 22일 	 JD=2451746
2000년 8월 23일 	 JD=2451747
2000년 8월 24일 	 JD=2451748
2000년 8월 25일 	 JD=2451749
2000년 8월 26일 	 JD=2451750
2000년 8월 27일 	 JD=2451751
2000년 8월 28일 	 JD=2451752
2000년 8월 29일 	 JD=2451753
2000년 8월 30일 	 JD=2451754
2000년 8월 31일 	 JD=2451755
2000년 9월 1일 	 JD=2451755
2000년 9월 2일 	 JD=2451756
2000년 9월 3일 	 JD=2451757
2000년 9월 4일 	 JD=2451758
2000년 9월 5일 	 JD=2451759
2000년 9월 6일 	 JD=2451760
2000년 9월 7일 	 JD=2451761
2000년 9월 8일 	 JD=2451762
2000년 9월 9일 	 JD=2451763
2000년 9월 10일 	 JD=2451764
2000년 9월 11일 	 JD=2451765
2000년 9월 12일 	 JD=2451766
2000년 9월 13일 	 JD=2451767
2000년 9월 14일 	 JD=2451768
2000년 9월 15일 	 JD=2451769
2000년 9월 16일 	 JD=2451770
2000년 9월 17일 	 JD=2451771
2000년 9월 18일 	 JD=2451772
2000년 9월 19일 	 JD=2451773
2000년 9월 20일 	 JD=2451774
2000년 9월 21일 	 JD=2451775
2000년 9월 22일 	 JD=2451776
2000년 9월 23일 	 JD=2451777
2000년 9월 24일 	 JD=2451778
2000년 9월 25일 	 JD=2451779
2000년 9월 26일 	 JD=2451780
2000년 9월 27일 	 JD=2451781
